Year,State,Ethnicity,Grade,Enrollment,Dropout
2002,arkansas,Hispanic,9,1424,49
2002,california,Hispanic,9,231562,7555
2002,colorado,Hispanic,9,15389,875
2002,connecticut,Hispanic,9,6925,350
2002,delaware,Hispanic,9,646,81
2002,district of columbia,Hispanic,9,0,0
2002,florida,Hispanic,9,51327,2092
2002,georgia,Hispanic,9,6905,558
2002,hawaii,Hispanic,9,710,20
2002,idaho,Hispanic,9,1984,119
2002,illinois,Hispanic,9,26195,2585
2002,indiana,Hispanic,9,3031,108
2002,iowa,Hispanic,9,1636,59
2002,kansas,Hispanic,9,3961,125
2002,kentucky,Hispanic,9,642,11
2002,louisiana,Hispanic,9,909,72
2002,maine,Hispanic,9,117,3
2002,maryland,Hispanic,9,3968,168
2002,massachusetts,Hispanic,9,9874,744
2002,michigan,Hispanic,9,5837,416
2002,minnesota,Hispanic,9,2478,155
2002,mississippi,Hispanic,9,316,12
2002,missouri,Hispanic,9,1533,68
2002,montana,Hispanic,9,241,15
2002,nebraska,Hispanic,9,2039,171
2002,nevada,Hispanic,9,8932,631
2002,new hampshire,Hispanic,9,362,18
2002,new jersey,Hispanic,9,18141,605
2002,new mexico,Hispanic,9,14623,878
2002,new york,Hispanic,9,53490,2874
2002,north carolina,Hispanic,9,5841,515
2002,north dakota,Hispanic,9,104,7
2002,ohio,Hispanic,9,3110,222
2002,oklahoma,Hispanic,9,3219,286
2002,oregon,Hispanic,9,4692,0
2002,pennsylvania,Hispanic,9,8490,0
2002,rhode island,Hispanic,9,2130,153
2002,south carolina,Hispanic,9,1472,71
2002,south dakota,Hispanic,9,123,9
2002,tennessee,Hispanic,9,0,0
2002,texas,Hispanic,9,157676,6254
2002,utah,Hispanic,9,3399,138
2002,vermont,Hispanic,9,60,0
2002,virginia,Hispanic,9,5931,482
2002,washington,Hispanic,9,9210,1112
2002,west virginia,Hispanic,9,123,6
2002,wisconsin,Hispanic,9,3952,209
2002,wyoming,Hispanic,9,542,24
2002,american samoa,Hispanic,9,0,0
2002,guam,Hispanic,9,0,0
2002,northern marianas,Hispanic,9,0,0
2002,puerto rico,Hispanic,9,0,0
2002,virgin islands,Hispanic,9,0,0
2002,alabama,Black,10,18847,642
2002,alaska,Black,10,417,53
2002,arizona,Black,10,3225,304
2002,arkansas,Black,10,7735,434
2002,california,Black,10,40805,2202
2002,colorado,Black,10,2987,119
2002,connecticut,Black,10,5543,202
2002,delaware,Black,10,2691,212
2002,district of columbia,Black,10,0,0
2002,florida,Black,10,42798,1750
2002,georgia,Black,10,39811,2443
2002,hawaii,Black,10,230,10
2002,idaho,Black,10,85,4
2002,illinois,Black,10,29276,3247
2002,indiana,Black,10,8316,284
2002,iowa,Black,10,1391,62
2002,kansas,Black,10,3261,129
2002,kentucky,Black,10,4862,222
2002,louisiana,Black,10,21568,1939
2002,maine,Black,10,210,3
2002,maryland,Black,10,23994,1264
2002,massachusetts,Black,10,6449,383
2002,michigan,Black,10,23878,2343
2002,minnesota,Black,10,4375,277
2002,mississippi,Black,10,16524,788
2002,missouri,Black,10,11300,619
2002,montana,Black,10,67,5
2002,nebraska,Black,10,1320,119
2002,nevada,Black,10,2792,204
2002,new hampshire,Black,10,195,12
2002,new jersey,Black,10,17550,593
2002,new mexico,Black,10,571,27
2002,new york,Black,10,48833,4729
2002,north carolina,Black,10,29152,1861
2002,north dakota,Black,10,71,4
2002,ohio,Black,10,20214,1154
2002,oklahoma,Black,10,4781,319
2002,oregon,Black,10,1103,0
2002,pennsylvania,Black,10,22049,0
2002,rhode island,Black,10,1031,58
2002,south carolina,Black,10,19788,789
2002,south dakota,Black,10,127,9
2002,tennessee,Black,10,0,0
2002,texas,Black,10,43768,2120
2002,utah,Black,10,343,24
2002,vermont,Black,10,70,0
2002,virginia,Black,10,22678,1254
2002,washington,Black,10,4165,388
2002,west virginia,Black,10,914,42
2002,wisconsin,Black,10,6299,497
2002,wyoming,Black,10,65,4
2002,american samoa,Black,10,0,0
2002,guam,Black,10,0,0
2002,northern marianas,Black,10,0,0
2002,puerto rico,Black,10,0,0
2002,virgin islands,Black,10,0,0
2002,alabama,White,10,32103,1235
2002,alaska,White,10,6334,402
2002,arizona,White,10,37794,1872
2002,arkansas,White,10,24805,897
2002,california,White,10,175333,2403
2002,colorado,White,10,39440,888
2002,connecticut,White,10,30203,432
2002,delaware,White,10,5372,196
2002,district of columbia,White,10,0,0
2002,florida,White,10,100158,2593
2002,georgia,White,10,58837,3305
2002,hawaii,White,10,2778,133
2002,idaho,White,10,17252,552
2002,illinois,White,10,95126,3475
2002,indiana,White,10,61418,1185
2002,iowa,White,10,34957,479
2002,kansas,White,10,29946,522
2002,kentucky,White,10,42313,1474
2002,louisiana,White,10,25596,1368
2002,maine,White,10,15282,380
2002,maryland,White,10,35255,947
2002,massachusetts,White,10,55141,1434
2002,michigan,White,10,103098,3298
2002,minnesota,White,10,57270,812
2002,mississippi,White,10,16943,539
2002,missouri,White,10,56297,1690
2002,montana,White,10,10897,330
2002,nebraska,White,10,18930,350
2002,nevada,White,10,15221,605
2002,new hampshire,White,10,15851,433
2002,new jersey,White,10,60519,622
2002,new mexico,White,10,9235,321
2002,new york,White,10,122716,3100
2002,north carolina,White,10,60025,2893
2002,north dakota,White,10,7718,119
2002,ohio,White,10,112935,1857
2002,oklahoma,White,10,29389,1004
2002,oregon,White,10,34780,0
2002,pennsylvania,White,10,116066,0
2002,rhode island,White,10,9119,309
2002,south carolina,White,10,27705,988
2002,south dakota,White,10,9074,177
2002,tennessee,White,10,0,0
