Year,State,BL7,WH7,HI7,BL8,WH8,HI8,BL9,WH9,HI9,BL10,WH10,HI10,BL11,WH11,HI11,BL12,WH12,HI12,BLD7,WHD7,HID7,BLD8,WHD8,HID8,BLD9,WHD9,HID9,BLD10,WHD10,HID10,BLD11,WHD11,HID11,BLD12,WHD12,HID12
2002,SOUTH DAKOTA,138,8687,163,117,8597,162,132,8967,123,127,9074,142,143,9066,106,113,8973,115,NaN,2,NaN,NaN,2,NaN,6,89,9,9,177,11,11,271,13,8,316,9
2002,TENNESSEE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002,TEXAS,47430,135488,132349,46074,134658,126057,56750,149639,157676,43768,132490,114260,36490,125804,94168,31858,117173,80989,96,84,345,366,565,1250,1801,2235,6254,2120,2711,6464,1648,2952,4927,1910,3324,5434
2002,UTAH,374,31303,3822,359,30837,3513,365,31386,3399,343,31069,3201,333,31689,2877,289,31303,2573,8,193,66,16,216,91,20,341,138,24,512,200,34,872,263,48,2153,559
2002,VERMONT,101,7781,61,49,7774,48,NaN,NaN,60,70,NaN,NaN,NaN,NaN,48,62,NaN,29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002,VIRGINIA,NaN,NaN,NaN,25077,NaN,5160,28902,62016,5931,22678,56524,4790,18376,52086,4105,17804,50637,3209,NaN,NaN,NaN,340,NaN,41,1250,1092,482,1254,1112,303,724,1063,323,798,1377,177
2002,WASHINGTON,NaN,NaN,NaN,NaN,NaN,NaN,4781,64542,9210,4165,60883,7566,3689,58801,6281,3195,55969,5604,NaN,NaN,NaN,NaN,NaN,NaN,427,2914,1112,388,2635,808,358,3104,648,448,3804,738
2002,WEST VIRGINIA,970,21414,111,936,20841,83,1004,21831,123,914,20123,72,773,18683,83,717,17489,67,NaN,17,NaN,3,89,NaN,38,696,6,42,837,3,43,742,3,33,600,1
2002,WISCONSIN,7407,54496,3344,6784,54526,3131,8931,60987,3952,6299,60405,3052,4741,59883,2474,3884,59535,2199,198,27,49,263,29,61,902,209,209,497,222,149,434,476,142,284,1670,135
2002,WYOMING,90,6144,584,101,6121,469,110,6414,542,65,6416,519,58,6243,403,70,6029,348,NaN,7,NaN,NaN,15,4,NaN,81,24,4,201,40,5,344,57,5,369,35
2002,AMERICAN SAMOA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002,GUAM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002,NORTHERN MARIANAS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002,PUERTO RICO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002,VIRGIN ISLANDS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
